Symbol,現價,DPI,5D_DPI,Edge,防禦價,位階,戰術,板塊
AHR,50.1,73.34,62.54,-23.55,80.0,逆轉,⏳ 觀望,房地產
AIA,123.84,46.78,60.04,-23.57,100.0,牛勢,⏳ 觀望,指數基金
AIFD,46.6,60.94,0.0,-24.39,25.0,牛勢,⏳ 觀望,指數基金
AIRJ,3.2,48.15,67.98,-74.21,3.0,牛勢,⏳ 觀望,工業
AIRR,125.62,62.31,53.48,-24.48,115.0,逆轉,⏳ 觀望,指數基金
AIVC,87.58,69.25,0.0,-27.49,65.0,牛勢,⏳ 觀望,指數基金
AKAM,95.91,84.64,64.45,-43.92,90.0,逆轉,⏳ 觀望,科技
ALAB,196.21,60.75,57.49,-89.18,187.5,牛勢,⏳ 觀望,科技
ALG,172.08,76.99,0.0,-31.87,145.0,反彈,⏳ 觀望,工業
ALGM,43.49,69.72,67.38,-50.13,37.5,牛勢,⏳ 觀望,科技
ALGN,184.35,44.17,66.19,-58.36,175.0,逆轉,⏳ 觀望,醫療
ALGT,79.4,73.99,67.53,-61.02,75.0,反彈,⏳ 觀望,工業
ALKS,33.71,65.6,53.03,-38.84,35.0,牛勢,⏳ 觀望,醫療
ALL,214.26,70.44,67.59,-22.64,210.0,逆轉,⏳ 觀望,金融
ALLE,148.4,66.41,58.51,-24.14,145.0,止跌回升,⏳ 觀望,工業
ALLW,29.78,76.61,50.69,-10.02,25.0,反彈,⏳ 觀望,指數基金
ALNT,74.2,60.28,44.63,-49.76,70.0,牛勢,⏳ 觀望,科技
ALRM,44.86,68.12,54.18,-28.72,45.0,逆轉,⏳ 觀望,科技
ALSN,133.65,79.02,62.77,-25.82,105.0,牛勢,⏳ 觀望,消費
ALT,2.8,60.86,58.21,-107.22,7.5,止跌回升,⏳ 觀望,醫療
ALV,116.95,79.83,82.38,-25.17,110.0,逆轉,⏳ 觀望,消費
AM,21.65,70.32,58.12,-20.51,18.0,逆轉,⏳ 觀望,能源
AMCR,39.0,50.13,65.64,-29.44,40.0,止跌回升,⏳ 觀望,消費
AMGN,340.14,72.14,64.09,-27.15,330.0,止跌回升,⏳ 觀望,醫療
AMLP,52.01,59.51,61.81,-11.58,47.0,反彈,⏳ 觀望,指數基金
AMLX,16.85,69.07,59.78,-66.72,14.0,牛勢,⏳ 觀望,醫療
AMN,21.01,76.12,70.21,-56.77,15.0,牛勢,⏳ 觀望,醫療
AMOM,53.79,62.88,0.0,-20.58,54.0,牛勢,⏳ 觀望,指數基金
AMP,478.15,76.85,62.26,-24.85,450.0,逆轉,⏳ 觀望,金融
AMPH,21.66,74.47,70.38,-49.4,7.5,牛勢,⏳ 觀望,醫療
AMR,195.45,71.81,74.11,-58.75,160.0,牛勢,⏳ 觀望,Basic Materials
AMRX,12.56,52.07,61.61,-31.18,7.5,反彈,⏳ 觀望,醫療
AMSC,49.77,68.01,67.86,-84.93,48.0,牛勢,⏳ 觀望,工業
AMTM,26.3,61.77,66.38,-43.97,27.5,反彈,⏳ 觀望,工業
AMWD,45.31,76.95,0.0,-46.7,40.0,牛勢,⏳ 觀望,消費
AMZA,45.68,32.83,81.25,-18.14,44.0,逆轉,⏳ 觀望,指數基金
AN,203.9,68.51,66.62,-26.22,200.0,逆轉,⏳ 觀望,消費
ANF,86.56,71.73,67.02,-60.0,85.0,反彈,⏳ 觀望,消費
ANGL,29.36,66.41,67.15,-4.3,29.0,止跌回升,⏳ 觀望,指數基金
ANIP,79.42,83.55,61.11,-35.26,70.0,逆轉,⏳ 觀望,醫療
AORT,37.04,70.23,66.62,-41.06,35.0,逆轉,⏳ 觀望,醫療
AOS,64.68,76.62,74.86,-25.11,60.0,止跌回升,⏳ 觀望,工業
AOSL,42.5,61.48,55.58,-65.12,32.5,牛勢,⏳ 觀望,科技
AOUT,9.6,66.03,0.0,-48.67,2.5,牛勢,⏳ 觀望,消費
APA,38.42,66.26,61.96,-45.26,17.5,牛勢,⏳ 觀望,能源
APAM,38.14,59.17,60.54,-24.47,29.43,反彈,⏳ 觀望,金融
APD,302.37,63.62,52.84,-24.45,230.0,逆轉,⏳ 觀望,Basic Materials
APEI,57.02,69.41,58.47,-41.9,45.0,牛勢,⏳ 觀望,Consumer Defensive
APGE,86.51,61.45,62.23,-57.65,80.0,牛勢,⏳ 觀望,醫療
APLD,33.7,60.87,59.29,-111.56,34.0,牛勢,⏳ 觀望,科技
APLE,13.36,40.7,62.24,-22.04,10.0,逆轉,⏳ 觀望,Real Estate
APO,123.32,76.68,75.12,-35.62,105.0,牛勢,⏳ 觀望,金融
APPF,169.91,71.29,71.03,-39.84,145.0,牛勢,⏳ 觀望,科技
APTV,60.27,61.2,58.85,-34.96,70.0,反彈,⏳ 觀望,消費
ARCB,126.63,65.23,51.83,-48.83,60.0,牛勢,⏳ 觀望,工業
ARCC,18.63,62.73,63.91,-18.45,18.0,反彈,⏳ 觀望,金融
ARE,44.53,63.8,55.91,-43.22,60.0,逆轉,⏳ 觀望,Real Estate
AREC,2.2,70.38,57.85,-132.58,0.5,逆轉,⏳ 觀望,原物料
ARES,112.2,68.77,61.87,-40.14,115.0,牛勢,⏳ 觀望,金融
ARKK,76.5,44.95,65.91,-36.49,79.0,牛勢,⏳ 觀望,指數基金
ARKQ,130.05,64.88,60.93,-31.27,132.0,牛勢,⏳ 觀望,指數基金
ARLO,14.22,77.16,63.79,-50.8,13.0,牛勢,⏳ 觀望,工業
ARMG,18.3,57.51,60.15,-107.71,20.0,牛勢,⏳ 觀望,指數基金
ARMH,0.0,64.06,0.0,-53.37,55.0,牛勢,⏳ 觀望,指數基金
ARQQ,14.62,64.54,53.12,-106.11,12.5,牛勢,⏳ 觀望,科技
ARRY,7.98,63.2,58.15,-89.24,5.0,牛勢,⏳ 觀望,科技
ARWR,73.56,61.9,69.83,-63.27,57.5,牛勢,⏳ 觀望,醫療
ASH,57.68,75.32,68.11,-35.38,50.0,牛勢,⏳ 觀望,Basic Materials
ASHR,34.75,69.97,66.65,-16.34,31.0,反彈,⏳ 觀望,指數基金
ASIX,23.66,60.45,44.0,-44.91,12.5,牛勢,⏳ 觀望,原物料
ASO,56.52,79.19,72.09,-45.36,53.0,逆轉,⏳ 觀望,消費
ASR,308.18,62.6,0.0,-25.22,340.0,止跌回升,⏳ 觀望,工業
ASTE,58.73,73.87,0.0,-36.0,45.0,牛勢,⏳ 觀望,工業
ATHM,18.45,67.95,61.98,-26.02,17.5,反彈,⏳ 觀望,通訊
ATMU,62.61,69.99,46.44,-29.11,57.5,逆轉,⏳ 觀望,消費
ATO,185.6,82.02,75.67,-15.12,180.0,逆轉,⏳ 觀望,公用事業
ATRC,29.05,55.01,62.12,-45.67,30.0,反彈,⏳ 觀望,醫療
ATRO,73.37,53.89,62.05,-52.97,70.0,逆轉,⏳ 觀望,工業
AUB,37.36,73.83,66.76,-29.37,25.0,逆轉,⏳ 觀望,金融
AUR,5.02,61.58,63.86,-59.06,4.0,牛勢,⏳ 觀望,科技
AURA,6.95,78.74,63.55,-57.68,5.0,牛勢,⏳ 觀望,醫療
AVAV,195.16,63.48,62.38,-68.18,195.0,逆轉,⏳ 觀望,工業
AVDE,91.1,51.44,68.37,-13.59,78.0,反彈,⏳ 觀望,指數基金
AVDV,104.57,59.92,63.07,-14.7,94.0,逆轉,⏳ 觀望,指數基金
AVEM,89.5,60.38,62.53,-17.84,80.0,逆轉,⏳ 觀望,指數基金
AVGE,94.79,75.12,96.22,-12.43,73.0,逆轉,⏳ 觀望,指數基金
AVGV,82.0,65.46,0.0,-12.79,79.0,反彈,⏳ 觀望,指數基金
AVIE,59.58,67.11,0.0,-10.1,57.0,反彈,⏳ 觀望,指數基金
AVLV,81.32,85.59,79.52,-12.83,67.0,反彈,⏳ 觀望,指數基金
AVMA,65.0,84.05,0.0,-8.83,56.0,反彈,⏳ 觀望,指數基金
AVMV,71.82,84.02,0.0,-14.69,63.0,反彈,⏳ 觀望,指數基金
AVNM,79.68,68.09,0.0,-13.84,65.0,反彈,⏳ 觀望,指數基金
AVNW,22.62,61.85,36.96,-42.74,22.5,牛勢,⏳ 觀望,科技
AVPT,9.91,61.72,52.12,-43.48,9.0,逆轉,⏳ 觀望,科技
AVRE,43.3,82.86,0.0,-11.73,36.0,反彈,⏳ 觀望,指數基金
AVSU,73.25,66.05,0.0,-13.66,66.0,逆轉,⏳ 觀望,指數基金
AVT,78.64,76.91,75.11,-31.57,49.0,牛勢,⏳ 觀望,科技
AVUS,119.76,65.39,64.85,-12.73,65.0,逆轉,⏳ 觀望,指數基金
AVUV,119.84,65.89,75.34,-18.08,115.0,逆轉,⏳ 觀望,指數基金
AVY,164.95,61.06,69.86,-23.32,165.0,反彈,⏳ 觀望,消費
AWK,132.15,72.86,67.57,-22.24,120.0,逆轉,⏳ 觀望,公用事業
AWR,79.39,63.78,52.83,-20.29,70.0,逆轉,⏳ 觀望,公用事業
AX,98.51,61.76,76.46,-31.06,80.0,牛勢,⏳ 觀望,金融
AXP,318.25,54.07,62.05,-26.53,300.0,逆轉,⏳ 觀望,金融
AYI,291.78,82.05,84.54,-32.17,220.0,逆轉,⏳ 觀望,工業
AZTA,25.15,79.0,78.24,-57.42,15.0,牛勢,⏳ 觀望,醫療
AZZ,144.82,67.0,54.99,-28.54,130.0,牛勢,⏳ 觀望,工業
BAH,76.2,67.46,66.2,-40.8,75.0,止跌回升,⏳ 觀望,工業
BALI,32.73,62.47,74.15,-10.28,35.0,逆轉,⏳ 觀望,指數基金
BALL,61.08,45.7,68.77,-24.84,55.0,逆轉,⏳ 觀望,消費
BAM,46.96,66.79,64.6,-28.47,45.0,逆轉,⏳ 觀望,金融
BANF,113.61,80.61,65.53,-26.87,115.0,逆轉,⏳ 觀望,金融
BANR,67.55,51.59,74.71,-25.47,60.0,逆轉,⏳ 觀望,金融
BATT,16.62,66.13,20.36,-29.17,12.0,牛勢,⏳ 觀望,指數基金
BAX,18.5,66.18,74.47,-46.94,17.5,逆轉,⏳ 觀望,醫療
BBAR,14.9,62.68,62.5,-74.83,14.0,逆轉,⏳ 觀望,金融
BBIN,74.34,84.42,45.39,-14.68,72.0,反彈,⏳ 觀望,指數基金
BBJP,71.02,64.93,55.05,-18.99,68.0,反彈,⏳ 觀望,指數基金
BBP,86.99,81.19,0.0,-23.83,73.0,反彈,⏳ 觀望,指數基金
BBUS,120.06,66.44,60.69,-12.31,90.0,逆轉,⏳ 觀望,指數基金
BBVA,22.0,60.91,48.14,-31.65,20.0,逆轉,⏳ 觀望,金融
BBW,38.66,79.7,64.1,-54.67,40.0,反彈,⏳ 觀望,消費
BBY,59.49,65.09,66.09,-34.04,60.0,止跌回升,⏳ 觀望,消費
BC,80.2,80.8,68.73,-39.76,65.0,逆轉,⏳ 觀望,消費
BCAB,5.84,66.28,0.0,-138.72,1.5,牛勢,⏳ 觀望,醫療
BCAX,22.46,60.96,56.31,-84.34,22.5,牛勢,⏳ 觀望,醫療
BCE,23.56,65.6,59.7,-19.59,23.0,止跌回升,⏳ 觀望,通訊
BCH,39.28,78.78,70.3,-28.08,30.0,逆轉,⏳ 觀望,金融
BCI,24.64,61.44,54.71,-16.3,15.0,牛勢,⏳ 觀望,指數基金
BCO,106.79,76.66,75.72,-32.87,105.0,逆轉,⏳ 觀望,工業
BCSF,13.22,61.4,55.37,-21.45,15.0,逆轉,⏳ 觀望,金融
BDC,131.62,72.1,58.9,-32.51,105.0,逆轉,⏳ 觀望,科技
BEAM,29.17,67.77,61.23,-72.26,28.0,牛勢,⏳ 觀望,醫療
BEKE,16.04,41.39,63.13,-32.81,14.0,逆轉,⏳ 觀望,Real Estate
BELFB,251.28,69.06,0.0,-46.0,320.0,牛勢,⏳ 觀望,科技
BEN,27.57,72.17,66.92,-26.66,20.0,牛勢,⏳ 觀望,金融
BEPC,40.99,64.47,60.05,-31.88,35.0,逆轉,⏳ 觀望,公用事業
BFH,88.09,72.01,67.77,-40.33,70.0,牛勢,⏳ 觀望,金融
BFS,34.5,64.03,0.0,-19.03,30.0,逆轉,⏳ 觀望,Real Estate
BG,124.01,60.34,53.97,-30.35,110.0,逆轉,⏳ 觀望,Consumer Defensive
BHF,61.97,60.66,64.51,-50.63,60.0,反彈,⏳ 觀望,金融
BIBL,51.18,77.54,85.19,-15.32,39.0,逆轉,⏳ 觀望,指數基金
BIDU,127.9,66.4,59.84,-45.9,120.0,牛勢,⏳ 觀望,通訊
BIGY,51.7,88.55,0.0,-11.02,30.0,逆轉,⏳ 觀望,指數基金
BIIB,180.6,58.04,67.59,-32.25,170.0,反彈,⏳ 觀望,醫療
BIO,287.45,87.19,87.83,-39.01,230.0,逆轉,⏳ 觀望,醫療
BIRK,39.41,61.74,67.37,-37.62,35.0,牛勢,⏳ 觀望,消費
BITU,14.75,77.47,54.51,-87.16,12.0,牛勢,⏳ 觀望,指數基金
BIV,77.42,62.32,66.66,-4.09,78.0,止跌回升,⏳ 觀望,指數基金
BIZD,12.74,60.95,62.31,-17.82,12.0,反彈,⏳ 觀望,指數基金
BJ,92.8,66.76,69.1,-28.57,95.0,反彈,⏳ 觀望,Consumer Defensive
BJRI,38.16,80.69,69.01,-41.45,30.0,逆轉,⏳ 觀望,消費
BKH,75.24,70.72,61.13,-20.03,65.0,逆轉,⏳ 觀望,公用事業
BKR,68.25,62.27,42.35,-30.86,55.0,牛勢,⏳ 觀望,能源
BKU,46.62,68.39,63.45,-29.13,45.0,逆轉,⏳ 觀望,金融
BKV,29.44,73.88,65.8,-42.73,22.5,逆轉,⏳ 觀望,能源
BLCN,24.49,71.31,0.0,-35.46,13.0,逆轉,⏳ 觀望,指數基金
BLDR,89.96,66.93,65.61,-46.57,85.0,逆轉,⏳ 觀望,工業
BLFS,21.72,58.16,65.83,-45.28,22.5,逆轉,⏳ 觀望,醫療
BLOK,59.78,61.58,70.64,-38.69,64.0,牛勢,⏳ 觀望,指數基金
BLX,56.68,62.55,0.0,-21.5,40.0,逆轉,⏳ 觀望,金融
BMA,75.74,61.35,56.19,-69.44,80.0,逆轉,⏳ 觀望,金融
BMBL,4.28,64.98,63.37,-74.03,3.5,牛勢,⏳ 觀望,通訊
BMED,29.74,81.03,0.0,-15.11,19.0,止跌回升,⏳ 觀望,指數基金
BMI,122.92,62.28,58.81,-46.05,100.0,逆轉,⏳ 觀望,科技
BMO,152.36,83.17,75.93,-18.05,130.0,逆轉,⏳ 觀望,金融
BND,73.76,63.28,64.61,-3.82,69.0,止跌回升,⏳ 觀望,指數基金
BNDW,68.54,43.86,74.6,-3.2,66.0,止跌回升,⏳ 觀望,指數基金
BNL,19.96,62.45,57.92,-18.46,15.0,逆轉,⏳ 觀望,房地產
BNS,76.4,61.89,62.19,-15.77,67.5,逆轉,⏳ 觀望,金融
BOKF,132.56,72.25,77.9,-23.47,110.0,逆轉,⏳ 觀望,金融
BOND,92.7,60.16,62.63,-4.08,90.0,止跌回升,⏳ 觀望,指數基金
BOOT,170.32,58.15,67.16,-45.11,170.0,牛勢,⏳ 觀望,消費
BORR,5.71,33.83,60.13,-61.09,4.0,牛勢,⏳ 觀望,能源
BPH,0.0,87.5,0.0,-26.24,58.0,牛勢,⏳ 觀望,指數基金
BPOP,150.6,63.57,51.01,-24.17,140.0,牛勢,⏳ 觀望,金融
BRKR,36.52,71.87,67.26,-51.09,32.5,逆轉,⏳ 觀望,醫療
BSV,78.4,72.72,66.78,-1.83,80.0,止跌回升,⏳ 觀望,指數基金
BSY,32.84,67.11,59.6,-33.72,30.0,反彈,⏳ 觀望,科技
BTG,4.56,65.97,62.34,-53.15,4.5,逆轉,⏳ 觀望,Basic Materials
BTSG,48.57,59.36,60.66,-41.45,35.0,牛勢,⏳ 觀望,醫療
BTU,27.08,56.85,63.84,-57.91,25.0,反彈,⏳ 觀望,能源
BURL,326.46,66.64,65.68,-37.63,270.0,逆轉,⏳ 觀望,消費
BUZZ,34.21,87.71,78.7,-30.64,32.0,牛勢,⏳ 觀望,指數基金
BVS,10.01,84.08,70.43,-48.52,15.0,牛勢,⏳ 觀望,醫療
BWA,55.38,62.21,59.65,-34.42,52.5,逆轉,⏳ 觀望,消費
BWIN,24.39,71.96,76.97,-56.37,15.0,牛勢,⏳ 觀望,金融
BWMN,31.86,69.94,0.0,-46.26,30.0,逆轉,⏳ 觀望,工業
BWXT,222.09,66.86,60.29,-43.7,190.0,牛勢,⏳ 觀望,工業
BX,120.44,67.9,54.21,-33.39,100.0,牛勢,⏳ 觀望,金融
BXC,56.71,80.68,0.0,-49.98,50.0,牛勢,⏳ 觀望,工業
BXMT,20.13,74.21,53.74,-20.66,8.0,逆轉,⏳ 觀望,房地產
BXP,58.03,59.65,65.17,-28.32,52.5,逆轉,⏳ 觀望,Real Estate
BXSL,23.78,74.39,69.98,-19.49,22.5,反彈,⏳ 觀望,金融
BYD,87.55,70.62,76.06,-26.35,75.0,逆轉,⏳ 觀望,消費
BZAI,2.14,73.06,55.39,-126.11,8.0,牛勢,⏳ 觀望,科技
BZH,22.47,71.96,51.91,-44.47,20.0,牛勢,⏳ 觀望,消費
CAC,50.4,77.18,0.0,-29.07,45.0,牛勢,⏳ 觀望,金融
CACC,541.91,77.92,73.07,-40.64,410.0,牛勢,⏳ 觀望,金融
CACI,502.23,71.11,58.31,-31.57,560.0,止跌回升,⏳ 觀望,科技
CAE,25.62,76.24,55.71,-28.82,22.5,止跌回升,⏳ 觀望,工業
CAKE,62.46,79.91,72.53,-33.39,52.5,逆轉,⏳ 觀望,消費
CALM,77.78,75.36,68.18,-33.1,70.0,反彈,⏳ 觀望,Consumer Defensive
CALX,42.6,69.03,56.4,-37.79,40.0,反彈,⏳ 觀望,科技
CANE,9.39,80.1,56.74,-19.46,2.0,反彈,⏳ 觀望,指數基金
CAPR,35.25,63.08,59.67,-192.19,33.0,牛勢,⏳ 觀望,醫療
CAR,187.42,58.13,63.55,-110.24,150.0,牛勢,⏳ 觀望,工業
CARG,37.76,43.4,63.22,-34.58,33.0,牛勢,⏳ 觀望,消費
CART,43.09,67.09,48.49,-41.94,41.0,牛勢,⏳ 觀望,消費
CASH,88.42,78.39,72.31,-28.0,110.0,逆轉,⏳ 觀望,金融
CASS,48.5,71.33,0.0,-22.92,20.0,逆轉,⏳ 觀望,工業
CASY,804.56,52.33,61.21,-24.59,740.0,牛勢,⏳ 觀望,消費
CAT,829.47,54.75,61.38,-30.88,700.0,牛勢,⏳ 觀望,工業
CB,324.6,75.3,57.91,-17.36,310.0,反彈,⏳ 觀望,金融
CBOE,298.0,83.53,73.48,-21.55,280.0,逆轉,⏳ 觀望,金融
CBRL,31.07,81.67,68.18,-54.56,27.5,逆轉,⏳ 觀望,消費
CBT,77.23,82.04,80.98,-30.39,65.0,逆轉,⏳ 觀望,原物料
CBU,61.7,77.56,0.0,-24.25,35.0,逆轉,⏳ 觀望,金融
CCB,83.42,73.92,0.0,-40.23,80.0,牛勢,⏳ 觀望,金融
CCBG,46.25,69.71,0.0,-25.17,40.0,逆轉,⏳ 觀望,金融
CCEP,96.15,67.45,62.27,-21.21,90.0,逆轉,⏳ 觀望,Consumer Defensive
CCI,83.42,70.08,52.36,-25.95,75.0,逆轉,⏳ 觀望,房地產
CCJ,123.4,67.91,58.79,-51.91,90.0,牛勢,⏳ 觀望,能源
CCK,101.61,60.92,65.93,-24.57,100.0,反彈,⏳ 觀望,消費
CCNE,30.81,79.61,0.0,-25.49,40.0,逆轉,⏳ 觀望,金融
CCOI,24.72,60.75,46.73,-83.18,20.0,牛勢,⏳ 觀望,通訊
CCS,59.07,77.82,72.34,-40.35,60.0,反彈,⏳ 觀望,Real Estate
CD,5.33,65.23,0.0,-188.03,5.0,牛勢,⏳ 觀望,金融
CDL,76.3,75.27,0.0,-9.81,64.0,反彈,⏳ 觀望,指數基金
CDNA,21.86,66.81,63.49,-77.55,17.5,牛勢,⏳ 觀望,醫療
CDNS,333.5,61.35,58.24,-37.01,300.0,牛勢,⏳ 觀望,科技
CDW,133.08,78.57,69.23,-30.91,115.0,逆轉,⏳ 觀望,科技
CDZI,4.51,70.04,62.06,-55.66,2.5,止跌回升,⏳ 觀望,公用事業
CE,65.12,53.75,67.71,-55.01,60.0,牛勢,⏳ 觀望,原物料
CECO,64.89,53.7,63.06,-56.8,40.0,牛勢,⏳ 觀望,工業
CEPI,33.35,77.86,0.0,-26.66,44.0,逆轉,⏳ 觀望,指數基金
CERS,1.98,70.87,66.78,-66.6,1.0,牛勢,⏳ 觀望,醫療
CERY,36.36,29.5,73.25,-14.53,22.0,牛勢,⏳ 觀望,指數基金
CFFN,7.89,82.01,71.96,-25.09,7.5,逆轉,⏳ 觀望,金融
CFR,143.54,64.44,56.94,-22.35,130.0,逆轉,⏳ 觀望,金融
CG,47.76,69.72,70.59,-36.24,40.0,反彈,⏳ 觀望,金融
CGAU,19.04,53.13,64.34,-51.55,40.0,逆轉,⏳ 觀望,原物料
CGDV,46.0,62.23,57.56,-11.98,44.0,逆轉,⏳ 觀望,指數基金
CGEM,13.51,68.59,68.07,-72.59,14.0,逆轉,⏳ 觀望,醫療
CGGR,44.13,49.21,62.94,-16.57,41.0,逆轉,⏳ 觀望,指數基金
CHAT,78.65,65.55,69.84,-29.02,70.0,牛勢,⏳ 觀望,指數基金
CHAU,22.89,65.52,14.79,-32.19,15.0,逆轉,⏳ 觀望,指數基金
CHCO,124.71,61.99,0.0,-19.42,120.0,逆轉,⏳ 觀望,金融
CHD,95.4,73.78,69.55,-21.66,80.0,反彈,⏳ 觀望,防禦性消費
CHGX,39.8,68.82,0.0,-13.51,18.0,逆轉,⏳ 觀望,指數基金
CHH,119.01,78.91,74.48,-29.73,100.0,牛勢,⏳ 觀望,消費
CHKP,138.07,63.61,68.26,-31.49,120.0,反彈,⏳ 觀望,科技
CHRD,137.65,76.66,80.06,-36.79,85.0,牛勢,⏳ 觀望,能源
CHRW,188.43,61.32,62.34,-39.27,175.0,牛勢,⏳ 觀望,工業
CHTR,174.53,69.8,72.95,-48.7,200.0,止跌回升,⏳ 觀望,通訊
CIB,69.7,60.12,55.74,-29.67,72.5,逆轉,⏳ 觀望,金融
CIGI,109.48,71.83,78.4,-31.8,105.0,逆轉,⏳ 觀望,房地產
CINF,163.0,76.55,78.01,-19.75,130.0,反彈,⏳ 觀望,金融
CL,84.15,61.02,52.12,-20.11,80.0,止跌回升,⏳ 觀望,Consumer Defensive
CLB,17.29,42.1,64.47,-54.52,10.0,逆轉,⏳ 觀望,能源
CLBK,18.52,77.62,82.98,-29.11,17.5,逆轉,⏳ 觀望,金融
CLFD,29.23,58.01,65.55,-48.45,30.0,牛勢,⏳ 觀望,科技
CLIX,59.04,99.43,0.0,-20.6,43.0,逆轉,⏳ 觀望,指數基金
CLOU,19.86,78.84,58.01,-26.13,17.0,逆轉,⏳ 觀望,指數基金
CLPT,11.19,67.91,63.84,-93.17,10.0,牛勢,⏳ 觀望,醫療
CLW,14.64,68.19,0.0,-46.3,12.5,逆轉,⏳ 觀望,Basic Materials
CLX,96.78,56.05,65.0,-24.06,100.0,止跌回升,⏳ 觀望,Consumer Defensive
CM,110.4,66.79,69.39,-16.85,95.0,牛勢,⏳ 觀望,金融
CMC,69.55,79.48,70.56,-33.57,67.5,牛勢,⏳ 觀望,工業
CMCM,5.41,62.74,0.0,-69.93,5.0,止跌回升,⏳ 觀望,通訊
CMCO,16.0,72.19,79.35,-54.51,15.0,牛勢,⏳ 觀望,工業
CMCSA,27.47,61.38,47.29,-27.71,28.0,止跌回升,⏳ 觀望,通訊
CMDY,59.44,78.41,0.0,-15.5,55.0,逆轉,⏳ 觀望,指數基金
CMPR,83.04,66.0,0.0,-41.93,70.0,牛勢,⏳ 觀望,工業
CMPX,1.78,73.24,67.28,-120.25,5.0,牛勢,⏳ 觀望,醫療
CMS,76.04,66.16,65.27,-15.65,70.0,逆轉,⏳ 觀望,公用事業
CNA,48.01,69.33,57.93,-16.98,43.0,反彈,⏳ 觀望,金融
CNH,10.24,62.88,62.04,-32.91,10.0,反彈,⏳ 觀望,工業
CNK,29.2,68.3,66.71,-37.2,27.0,牛勢,⏳ 觀望,通訊
CNMD,38.34,58.39,65.78,-41.45,40.0,逆轉,⏳ 觀望,醫療
CNP,42.9,77.23,66.35,-15.53,43.0,逆轉,⏳ 觀望,公用事業
CNS,68.17,63.81,37.45,-26.34,45.0,逆轉,⏳ 觀望,金融
CNXC,24.54,58.27,68.77,-60.36,25.0,反彈,⏳ 觀望,科技
CNYA,36.5,70.63,95.84,-16.44,30.0,反彈,⏳ 觀望,指數基金
COCO,51.8,63.33,56.32,-42.86,40.0,逆轉,⏳ 觀望,防禦性消費
COGT,36.6,62.57,41.71,-97.2,35.0,逆轉,⏳ 觀望,醫療
COHU,46.18,70.79,58.9,-46.96,15.0,牛勢,⏳ 觀望,科技
COKE,193.7,65.23,67.47,-32.14,175.0,牛勢,⏳ 觀望,Consumer Defensive
COLD,12.27,65.12,64.09,-39.92,10.0,逆轉,⏳ 觀望,房地產
COLM,61.1,69.0,65.92,-39.02,55.0,逆轉,⏳ 觀望,消費
CON,23.02,68.91,72.19,-26.64,2.5,逆轉,⏳ 觀望,醫療
CONY,27.88,64.63,48.21,-57.51,25.0,牛勢,⏳ 觀望,指數基金
CORO,32.58,86.27,85.25,-14.33,24.0,逆轉,⏳ 觀望,指數基金
CORT,46.19,71.94,60.13,-89.02,35.0,牛勢,⏳ 觀望,醫療
CP,87.35,75.27,61.65,-21.6,77.5,逆轉,⏳ 觀望,工業
CPAY,312.73,82.25,68.14,-35.3,250.0,逆轉,⏳ 觀望,科技
CPB,20.56,73.09,69.28,-28.82,19.5,反彈,⏳ 觀望,Consumer Defensive
CPER,36.94,63.55,47.62,-35.41,32.0,逆轉,⏳ 觀望,指數基金
CPK,126.5,75.95,0.0,-19.74,125.0,反彈,⏳ 觀望,公用事業
CQQQ,50.99,87.63,51.57,-28.39,54.0,逆轉,⏳ 觀望,指數基金
CRC,65.26,71.44,55.98,-34.03,45.0,牛勢,⏳ 觀望,能源
CRGY,12.78,65.22,66.67,-49.94,7.5,牛勢,⏳ 觀望,能源
CRK,16.82,58.14,62.01,-56.65,16.0,反彈,⏳ 觀望,能源
CRL,170.0,51.58,65.08,-45.47,170.0,逆轉,⏳ 觀望,醫療
CRM,180.4,58.27,62.13,-34.29,180.0,逆轉,⏳ 觀望,科技
CRNX,38.63,74.43,78.86,-53.89,32.0,牛勢,⏳ 觀望,醫療
CROX,103.35,60.95,53.09,-55.16,85.0,牛勢,⏳ 觀望,消費
CRSP,51.11,66.68,71.96,-61.66,50.0,逆轉,⏳ 觀望,醫療
CRTC,37.75,74.78,0.0,-13.21,33.0,逆轉,⏳ 觀望,指數基金
CRUS,170.88,65.16,52.0,-33.12,115.0,牛勢,⏳ 觀望,科技
CRVL,58.17,71.11,29.29,-41.07,45.0,牛勢,⏳ 觀望,金融
CRVS,15.92,59.11,68.05,-122.26,17.0,牛勢,⏳ 觀望,醫療
CSD,128.6,88.4,0.0,-23.64,123.0,逆轉,⏳ 觀望,指數基金
CSGS,80.32,47.91,63.43,-21.84,65.0,止跌回升,⏳ 觀望,科技
CSL,361.22,88.33,79.53,-34.42,330.0,逆轉,⏳ 觀望,工業
CSR,66.38,67.36,15.65,-23.86,60.0,牛勢,⏳ 觀望,Real Estate
CSV,51.65,60.93,0.0,-23.04,45.0,牛勢,⏳ 觀望,消費
CTAS,174.0,60.1,48.49,-18.43,170.0,反彈,⏳ 觀望,工業
CTBI,65.1,66.1,0.0,-25.68,50.0,逆轉,⏳ 觀望,金融
CTEV,24.26,82.38,0.0,-109.6,15.0,牛勢,⏳ 觀望,醫療
CTGO,22.44,66.0,54.14,-62.27,20.0,牛勢,⏳ 觀望,原物料
CTRN,48.92,64.91,0.0,-55.79,30.0,逆轉,⏳ 觀望,消費
