,,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,Directional Indicators,Directional Indicators,Directional Indicators,Directional Indicators,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators
isWatchlisted,Symbol,Current Price,Previous Close,Stock Volume,52 Week High,52 Week Low,Earnings Date,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Options Impact,Call Gamma,Put Gamma,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5 day DPI,5d % DPI Volume
,CBRL,31.07,29.38,408797,71.93,24.85,,30,30,15,30,27.5,24.20183881835088,'-2276333,'-1099757,0.3825,0.3604,2026-06-19,2026-05-16,334,290,0.7695,0.7724,0.6591,0.8683,2.0699,'-1.748,'-0.07819202,'-0.08653689,0.4741,0.6113,0.4412,0.0096,0.3629,1.1336233037,81.67,0.4269,0.6818000000000001,0.4455
,CBSH,50.605,50.58,219815,63.19,46.99,,52.38,55,28.57,55,50,3.5698773135563684,'-74501,'-49257,0.4917,0.0643,2026-08-22,2026-08-22,1,1,1,0,0.7119,1,1.5125,'-2.1811,'-0.28542814,'-0.1991833,0.1883,0.2204,0.1523,0.1085,0.6,0.7036440068,55.300000000000004,0.2747,0.46284000000000003,2.3438000000000003
,CBT,77.23,76.72,76260,83.71,58.33,05-06 4:30 AM,75,70,35,75,65,4.70970678912127,'-115287,'-15403,0.269,0.1652,2026-07-18,2026-07-18,30,0,0.0333,,0.2758,0,7.4847,'-11.8673,'-0.03386352,'-0.10412733,0.1885,0.3707,0.665,0.0179,0.4959,1.795121126,82.04,9.5254,0.8097799999999999,7.1569400000000005
,CBU,61.7,62.25,46021,67.5,51.12,04-29 6:45 PM,65,60,35,65,35,4.507327391503539,'-39397,'-9174,0.7079,0.8769,2026-05-16,2026-05-16,0,0,,,1.2212,,4.2944,'-2.6071,'-0.7983801,'-0.68611269,0.1905,0.3514,0.319,0,0.113,1.3807138799,77.56,7.8884,,
,CBZ,30.66,30.68,240712,77.91,24.29,04-30 4:05 AM,30,30,15,30,35,7.470775708279057,'-90098,'-58449,0.1024,0.1084,2026-07-18,2027-04-17,46,4,0,0,0.7561,0.087,1.5415,'-2.2392,'-0.91910526,'-0.85405928,0.4401,0.6208,0.432,0.2087,0.0996,1.2021803951,57.230000000000004,4.9496,0.5904,4.79518
,CC,26.49,26.62,1687508,26.65,9.13,05-06 4:40 AM,25,21,4,25,14,5.670554146946453,'-8791884,'-762034,0.0231,0.004,2026-05-09,2026-05-09,3824,1420,0.0583,0.3345,0.2163,0.3713,11.5374,'-36.6381,'-0.05308302,'-1.0918424,0.47,0.7208,0.6504,0.2816,0.004,1.2111150666,32.87,0.4475,0.33849999999999997,0.38848000000000005
,CCAP,13.21,13.24,38618,17.02,11.8,,12.5,15,5,15,12.5,,'-30794,'-64784,0.0307,0.0472,2026-06-19,2026-05-16,0,0,,,1.2969,,0.4753,'-0.3185,'-0.22118959,'-0.35855929,0.2492,0.2471,0.1639,0.2703,0.5523,0.2065015464,58.63,8.0622,0.5761,6.703933333333334
,CCB,83.42,82.17,28429,120.05,70.72,,85,85,45,85,80,13.887874071168754,'-58476,'-22532,0.3723,0.0102,2026-05-16,2026-10-17,2,0,0,,0.1822,0,2.5952,'-5.8827,0.23855634,0.14489886,0.2241,0.4548,0.607,0.0768,0.7347,2.3588282522,73.92,4.433,,
,CCBG,46.25,46.11,13983,48.78,34.83,,45,45,22.5,45,40,,'-11178,'-408,0.4427,0.2478,2026-07-18,2026-07-18,0,0,,,0.0465,,27.3971,'-32.882,'-0.92662381,'-0.85495627,0.1683,0.4116,0.2251,0.0978,0.0453,1.1979344821,69.71000000000001,2.9802,,
,CCC,4.825,4.96,5765045,9.44,4.72,,5,7.5,5,7.5,5,0,'-224931,'-131445,0.02,0.0411,2026-06-19,2026-09-19,2,500,1,0,0.2715,250,1.7112,'-2.182,'-0.32121141,'-0.36915711,0.6681,0.7937,0.7009,0.7174,0.4261,0.2484852616,15.879999999999999,0.556,0.3157,0.4418
,CCCC,2.845,2.89,807207,3.82,1.21,,3,2,1,4,3,0,'-328679,'-217878,0.4793,0.1653,2026-05-16,2026-06-19,25,35,0.44,0.9143,0.3183,1.4,1.5085,'-3.1673,'-0.03649364,'-0.04089183,0.8249,1.0271,0.1668,0.0688,0.2769,0.1873583917,36.059999999999995,8.1144,0.26664,5.108780000000001
,CCEC,19.94,19.81,3331,24.83,16.77,,20,17.5,5,25,20,68.24055558996055,'-12403,'-27149,0.0345,0.0067,2026-06-19,2026-09-19,0,1,,0,1.7831,,0.4568,'-0.3232,'-0.3655006,'-0.3684472,0.6053,0.4025,0.3353,0.7502,0.1667,0.5032837846,17.11,0.4837,,
,CCEP,96.15,98.05,459890,110.9,84.66,,105,105,50,105,90,15.079060632710544,'-659590,'-57547,0.6408,0.4321,2026-05-16,2026-08-22,227,23,0.1454,0.4348,0.1086,0.1013,11.4618,'-7.8509,'-0.19203269,'-0.16708229,0.2214,0.2807,0.5992,0.2504,0.2963,1.7372110711,67.45,0.2954,0.6227,0.37385999999999997
,CCI,83.42,86.34,1014554,115.76,75.96,,85,90,42.5,90,75,10.850222626243246,'-3618993,'-1949034,0.2508,0.2787,2026-06-19,2028-01-22,460,335,0.85,0.2478,0.6133,0.7283,1.8568,'-1.5283,'-0.03968792,'-0.08414675,0.2758,0.2971,0.6149,0.2871,0.5844,1.6191134255,70.08,0.4475,0.5236000000000001,0.49732000000000004
,CCJ,123.4,122.17,718894,135.24,42.1,,130,140,110,140,90,74.17573073821927,'-17871462,'-12413591,0.1369,0.0175,2026-05-16,2027-01-16,15712,15048,0.2681,0.1072,1.3381,0.9577,1.4397,'-4.1525,'-0.05272609,0.01622047,0.4983,0.635,0.8925,0.4684,0.336,4.8966704538,67.91,0.3592,0.58794,0.41530000000000006
,CCK,101.61,101.14,313476,116.62,86.62,04-28 4:05 AM,100,110,42.5,110,100,15.034887560353564,'-291145,'-267405,0.2985,0.8551,2026-05-16,2026-10-17,18,60,1,0.5333,0.6405,3.3333,1.0888,'-1.3689,'-0.00980152,'-0.02392718,0.3449,0.3845,0.9969,0.1257,0.6518,2.4546064508,60.919999999999995,4.9116,0.6593199999999999,6.28186
,CCL,26.76,27.17,5753135,34.03,17.33,,27,35,26,29,25,16.714436163109724,'-75265591,'-58753319,0.1068,0.0247,2026-06-19,2026-05-16,31171,21565,0.1717,0.1639,0.9265,0.6918,1.281,'-1.2311,'-0.11395913,'-0.11532738,0.6668,0.5376,0.5703,0.661,0.116,0.9219587199,39.21,0.4345,0.49119999999999997,0.4755599999999999
,CCNE,30.81,30.14,29098,31.8,21.19,,30,25,15,30,40,,'-12211,'-212,0,0,2026-09-19,2026-06-19,0,0,,,0.0658,,57.5991,'-13.5487,'-0.81837745,'-0.81324725,0.2281,0.4182,0.1307,0.286,0.195,0.7955909866,79.61,6.3867,,
,CCOI,24.715,24.5,171560,56.89,15.96,05-04 7:00 PM,25,35,5,35,20,63.44653720236049,'-3852722,'-361090,0.0492,0.0482,2026-06-19,2026-06-19,629,82,0.0429,0.622,0.1041,0.1304,10.6697,'-10.26,'-0.13227178,'-0.11385997,0.51,1.0469,0.8476,0.0311,0.4,1.6189515875,60.75000000000001,8.2102,0.46731999999999996,7.25126
,CCRN,10.32,10.05,105904,14.99,7.43,05-08 4:15 AM,10,7,2,10,7,7.781497405343727,'-202358,'-46462,0.08,0.0242,2026-09-19,2026-06-19,2,4,0,1,0.7104,2,4.3553,'-8.0852,'-0.40050457,'-0.49030425,0.3041,0.5982,0.2243,0.0466,0.2222,0.3794679038,25.119999999999997,3.5334,0.24752000000000002,3.31782
,CCS,59.07,59.8,107511,76,50.42,,60,30,35,70,60,19.794451980104093,'-59491,'-118661,0.4687,0.4806,2026-05-16,2026-12-19,171,20,0,1,1.8951,0.117,0.5014,'-0.5365,'-0.04219097,'-0.04474273,0.4692,0.4023,0.1242,0.1243,0.5514,1.5184964969,77.82,5.4137,0.7234333333333334,2.1703333333333332
,CCSI,27.12,26.7,26598,31.67,18.95,05-08 7:00 AM,25,30,15,30,22.5,0,'-50303,'-350361,0.1013,0.0846,2026-06-19,2026-05-16,0,0,,,10.1131,,0.1436,'-0.1898,'-0.00321494,0.00208668,0.4426,0.623,0.2767,0.2672,0.6318,1.0499337247,42.38,7.9802,,
,CCUP,4.331,4.74,252754,34.83,1.61,,5,3,2,3,1,,'-35328,'-9831,0.5007,0.554,2026-05-16,2026-05-16,70,21,0.1143,0.9524,0.2305,0.3,3.5935,'-8.5281,0.12984354,0.09571494,1.8055,1.9673,0.605,0.5742,0.8221,0.5885881462,61.29,7.4091,0.57206,7.68106
,CD,5.33,5.21,16216,36.77,1.38,,5,7.5,5,7.5,5,14.13372607953022,'-20035,'-1777,0.3624,0.1645,2026-06-19,2026-06-19,32,10,1,1,0.114,0.3125,11.2746,'-6.583,0.11841293,0.1319015,0.8978,1.7786,0.6833,0.368,0.6571,0.5848959162,65.23,9.5332,,
,CDE,18.9,19.31,3633094,27.77,5.21,05-07 4:30 AM,20,20,1,22.5,17.5,18.816501218456942,'-27634052,'-9749892,0.1026,0.0098,2026-05-16,2027-01-16,14259,2237,0.1647,0.3572,0.2697,0.1569,2.8343,'-4.0503,'-0.01733201,0.07496351,0.8196,0.7537,0.4419,0.4456,0.6816,0.9186358013,46.69,0.3851,0.53272,0.40679999999999994
,CDL,76.295,75.45,5996,77.18,64.08,,70,64,65,64,64,,0,0,0,0,2026-05-16,2026-05-16,0,0,,,,,,,0.21885246,0.20118846,0.0854,0.1178,0.1297,0.1225,0.9333,0.5610054914,75.27000000000001,19.1565,,
,CDNA,21.86,21.23,172544,23.24,10.96,04-29 4:00 AM,20,22.5,5,25,17.5,1.9950756489653962,'-49408,'-16817,0.737,0.5817,2026-05-16,2026-05-16,33,8,0.9697,1,0.466,0.2424,2.938,'-7.6629,'-0.00438409,'-0.07428071,1.0286,0.9141,0.4866,0.0594,0.7178,1.224915925,66.81,5.6501,0.6349400000000001,2.2642800000000003
,CDNS,333.5,332.88,1279745,376.45,262.75,04-28 4:00 AM,310,400,300,400,300,38.52094167382143,'-8615025,'-7886211,0.0573,0.0425,2026-06-19,2026-09-19,20103,26466,0.0798,0.0232,1.2059,1.3165,1.0924,'-2.2604,'-0.07017109,'-0.02850313,0.5236,0.5438,0.9778,0.6469,0.504,11.4258754024,61.35,0.4489,0.58244,0.49054000000000003
,CDP,31.68,32.08,265267,32.96,25.21,04-28 4:15 AM,30,40,17.5,40,30,0,'-22779,'-37005,0.4615,0.4213,2026-05-16,2026-06-19,0,0,,,0.9947,,0.6156,'-1.848,1.34413793,1.11754601,0.1638,0.4075,0.3593,0.1221,0.9582,0.8251341286,52.51,6.2163,0.42874,5.277500000000001
,CDRE,29.415,29.44,249578,48.76,28.22,,30,20,20,45,30,0,'-28200,'-32864,0.1325,5.6885,2026-10-17,2026-10-17,2,1,0,1,0.6311,0.5,0.8581,'-1.0248,'-0.17801812,'-0.35982057,0.534,0.6242,0.3923,0.055,0.6352,1.1599096131,31.819999999999997,16.8315,0.40618,8.4741
,CDW,133.08,135.4,496049,192.3,112.98,05-06 7:00 PM,125,125,115,125,115,12.894376482565267,'-4819623,'-3171680,0.8482,0.6995,2026-05-16,2026-05-16,38,14,0.7632,0.2143,0.9989,0.3684,1.5196,'-4.8079,'-0.09466222,'-0.11806759,0.3226,0.4616,0.8257,0.1891,0.4228,3.9450003156,78.57,0.5217,0.69226,0.46807999999999994
,CDXS,2.655,2.62,805178,3.87,0.96,05-08 4:05 AM,2.5,2.5,1,2.5,1,0,'-202787,'-2653,0.5733,0.5724,2026-05-16,2026-05-16,3,0,0,,0.0274,0,76.4369,'-118.9993,'-0.20250522,'-0.18466711,0.799,1.487,0.2991,0.0906,0.1439,0.2459092344,27.88,6.557,0.34548,3.2011600000000002
,CDZI,4.51,4.71,231237,6.96,2.58,,5,5,5,5,2.5,0,'-1977227,'-356836,0.9258,0.9619,2026-05-16,2026-05-16,142,2,1,0,0.1047,0.0141,5.541,'-5.0313,0.11527061,0.17148694,0.4182,0.9301,0.2163,0.0954,0.7303,0.2765114562,70.04,3.9299,0.62056,4.2519599999999995
,CE,65.12,64.97,647565,68.77,35.13,05-06 4:00 AM,60,75,22.5,75,60,9.911809010046653,'-3574821,'-1489229,0.5914,0.5012,2026-05-16,2026-05-16,677,174,0.1448,0.6149,0.6582,0.257,2.4005,'-2.5775,0.03568075,0.02935831,0.5755,0.7153,0.5045,0.244,0.93,2.9333485451,53.75,0.5254,0.67706,0.51282
,CECO,64.89,64.85,133667,81.72,18.65,04-28 6:30 PM,70,70,30,70,40,9.944630093170728,'-87206,'-17614,0.5174,0.3534,2026-05-16,2026-08-22,3,5,0.6667,1,0.3718,1.6667,4.9509,'-7.558,0.0562249,0.02829341,0.5262,0.668,0.4386,0.1179,0.7202,2.7343179953,53.7,0.3827,0.63062,4.78228
,CEG,315.93,313.52,1425387,412.7,209.57,,310,320,300,320,300,35.72232748729699,'-13861636,'-11714839,0.1098,0.2386,2026-05-16,2026-05-16,13031,5639,0.2739,0.3087,1.382,0.4327,1.1833,'-1.2881,'-0.0500731,'-0.06635319,0.48,0.5742,0.8198,0.3526,0.212,11.3629479265,55.78999999999999,0.4634,0.40743999999999997,0.50808
,CEGX,19.75,19.53,53660,40.65,12.84,,18,11,2,22,16,,'-24889,'-7647,0.3758,0.1764,2026-06-19,2026-06-19,99,2,0.2626,1,0.2,0.0202,3.2547,'-3.5704,'-0.05507046,'-0.14326317,0.9603,1.1259,0.3921,0.9425,0.4831,1.387920659,30.990000000000002,0.6686,,
,CELC,125.78,121.1,489973,128.28,9.51,,130,110,30,130,85,41.3097308185477,'-2901963,'-389811,0.7786,0.5853,2026-05-16,2026-05-16,682,44,0.5029,0.8409,0.2901,0.0645,7.4445,'-9.6407,'-0.26561275,'-0.26220615,0.659,0.7742,0.0889,0.4499,0.1967,5.9177946096,49.18,7.6219,0.53588,7.01798
,CELH,33.24,34.6,2317213,66.74,32.3,,35,55,32,40,30,20.46251702429047,'-29271030,'-13271969,0.1919,0.0364,2027-01-16,2027-01-16,12570,7251,0.3896,0.6948,0.4289,0.5768,2.2055,'-1.9466,0.06214164,0.02971732,0.5257,0.8278,1,0.0971,0.668,1.8078570978,55.34,0.467,0.55454,0.47778
,CEMB,45.37,45.93,29672,46.5,44.31,,43,40,37,40,51,,'-13,'-1241,0,0,2026-09-19,2026-09-19,0,0,,,0.0739,,0.0105,'-13.6745,'-0.83987275,'-0.73623853,0.0437,0.0872,0.2354,0.2966,0.1084,0.2527990911,53.18000000000001,23.3638,,
,CENT,37.83,38.48,9380,41.25,28.77,,40,40,20,40,45,0,'-150570,'-28345,0.0013,0.0065,2026-07-18,2026-07-18,0,0,,,0.3488,,5.312,'-2.6633,'-0.04715175,'-0.0569653,0.2381,0.3862,0.2828,0.1338,0.4519,0.9380152749,52.480000000000004,8.4581,,
,CENTA,33.74,34.73,35859,37.35,25.97,,35,30,17.5,35,45,,'-2829,'-4176,0,0,2026-09-19,2026-06-19,0,0,,,3.0833,,0.6774,'-0.2598,'-0.3161435,'-0.25695984,0.1972,0.4059,0.0771,0.146,0.2875,0.8897877296,52.17,4.0432,0.497,0.4074
,CENX,61.55,60.73,405020,68.69,14.77,,65,65,5,65,45,15.832293234391432,'-3244619,'-763349,0.1788,0.0291,2026-06-19,2026-06-19,186,88,0.3978,0.2614,0.3404,0.4731,4.2505,'-8.1956,0.03182101,0.02332619,0.655,0.7931,0.7122,0.1591,0.4355,3.0401415767,43.36,0.4447,0.33168,0.47494
,CEPI,33.35,33.45,31387,43.7,26.98,,31,31,22,31,44,,'-5574,'-9381,0.1498,0.119,2026-09-19,2026-05-16,0,1,,0,3.4286,,0.5942,'-0.2174,'-0.38589563,'-0.52568398,0.3865,0.3582,0.565,0.2219,0.2329,0.756282901,77.86,146.6682,,
,CEPU,14.33,14.46,170073,18.5,7.43,,15,25,12.5,25,12.5,23.023372443659202,'-14738,'-574565,0.0309,0.0434,2026-07-18,2026-10-17,8,0,0.375,,14.0298,0,0.0257,'-0.0448,'-0.0435641,0.02443636,0.4604,0.6875,0.4424,0.0163,0.55,0.6274853247,50.79,12.5044,0.5942999999999999,10.13886
,CERS,1.985,1.98,363843,2.96,1.15,05-01 4:00 AM,2,3,1,3,1,0,'-347049,'-19745,0.4166,0.3569,2026-08-22,2026-08-22,0,0,,,0.099,,17.5766,'-13.7904,0.05355477,'-0.07640889,0.4637,0.9724,0.3288,0.1319,0.636,0.1215269835,70.87,5.7988,0.6678200000000001,4.75394
,CERY,36.36,36.39,59257,36.48,24.79,,35,28,23,28,22,,'-6955,'-120,0,0,2026-10-17,2026-10-17,0,0,,,0.0137,,57.9583,'-140.3216,0.02128973,0.01496861,0.1472,0.6213,0.7264,0.2095,0.5918,1.4270723348,29.5,175.8368,0.7325,133.9086
,CEVA,27.69,28.87,750415,30.88,17.02,05-11 7:00 PM,30,30,5,30,17.5,7.126301199007558,'-435245,'-17144,0.182,0.1358,2026-06-19,2026-06-19,5160,140,0.12,0.1429,0.1323,0.0271,25.3876,'-37.4591,'-1.08669272,'-1.07416685,0.7285,0.9182,0.8661,0.79,0.0167,1.6731953544,40.83,0.4916,0.38785000000000003,3.5999250000000003
,CF,123.6,120.92,1258898,141.96,75.42,05-07 4:30 AM,130,130,40,130,105,10.402176800128826,'-11080540,'-5451863,0.2202,0.0613,2026-05-16,2026-05-16,10715,2466,0.1815,0.6541,0.6544,0.2301,2.0324,'-2.8939,0.08200867,0.00071073,0.614,0.5628,0.7581,0.869,0.468,4.2955106987,49.61,0.5125,0.5195399999999999,0.49729999999999996
,CFFN,7.89,7.68,178280,7.85,5.43,,7.5,5,5,10,7.5,,'-298,'-2044,0.1158,0.3783,2026-11-21,2026-08-22,0,3,,0,2.1667,,0.1458,'-0.6734,'-1.29665588,'-1.2904607,0.2009,0.5839,0.3625,0.2191,0.1255,0.2830494225,82.01,2.4238,0.7196,3.1201
,CFG,64.76,63.79,1175497,68.79,35.9,,65,55,20,67.5,60,8.589075770425957,'-5247289,'-2309554,0.4152,0.2215,2026-05-16,2027-01-16,421,210,0.4109,0.9,0.5754,0.4988,2.272,'-2.8441,'-0.25199848,'-0.21671118,0.2542,0.2621,0.1965,0.1004,0.1784,1.0553152181,46.989999999999995,0.3586,0.42962,0.4007199999999999
,CFO,72.64,77.21,2335,78.74,65.45,,72,66,67,66,66,,0,0,0,0,2026-05-16,2026-05-16,0,0,,,,,,,0.16428571,0.16198347,0.122,0.121,0.1551,0.195,0.7984,0.589686928,6.77,2335,,
,CFR,143.54,141.4,132379,148.97,113.69,04-30 9:00 PM,135,155,70,155,130,12.749909053899213,'-408230,'-25163,0.138,0.0437,2026-07-18,2026-07-18,4,21,0.5,0.7143,0.0639,5.25,16.2234,'-17.1479,'-0.22945638,'-0.13215571,0.193,0.3057,0.4107,0.2194,0.4939,2.7283961371,64.44,4.9873,0.5693999999999999,6.27402
,CG,47.755,48.32,856108,69.85,36.63,,50,55,40,52.5,40,15.488439002633454,'-11873235,'-4615434,0.5073,0.8331,2026-05-16,2026-05-16,836,591,0.5084,0.8629,0.5394,0.7069,2.5725,'-1.8451,'-0.04169091,'-0.06120811,0.3766,0.4983,0.7367,0.2336,0.7846,1.5197788298,69.72,0.4151,0.70592,0.41838
,CGAU,19.04,18.99,257802,21.17,6.31,04-30 5:00 AM,17.5,17.5,5,20,40,35.370658333660664,'-1142721,'-285895,0.359,0.2763,2026-07-18,2026-07-18,29,32,0.6897,0.6875,0.3036,1.1034,3.997,'-6.4883,0.06850488,0.0744898,0.5013,0.588,0.3635,0.2591,0.7647,0.7047983336,53.13,5.1055,0.64344,5.00586
,CGDV,46.005,46.14,1680568,46.28,33.89,,46,46,35,47,44,,'-32586,'-39998,0.3734,0.0558,2026-05-16,2026-07-18,0,0,,,1.0303,,0.8147,'-2.1898,0.32131148,0.27692308,0.18,0.169,0.3762,0.2207,0.9139,0.4921832986,62.23,10.3191,0.5756,8.11796
,CGEM,13.51,13.23,289634,16.74,5.68,,14,12,2,25,14,10.796976441417977,'-162621,'-237199,0.4698,0.2995,2026-05-16,2026-07-18,14,5,1,0.2,0.5944,0.3571,0.6856,'-2.1992,0.85163604,0.49436112,0.5598,0.8601,0.2009,0.0636,0.8765,0.7182429464,68.58999999999999,9.878,0.6807200000000001,8.1257
,CGGR,44.13,44.57,1348824,45.84,33.36,,45,40,34,45,41,,'-5418,'-1778,0.292,0.0943,2026-10-17,2026-10-17,0,0,,,0.3125,,3.0472,'-6.3379,'-0.16574202,'-0.1804261,0.2492,0.1502,0.2309,0.2698,0.2195,0.4225471186,49.21,8.5605,0.62938,13.193460000000002
,CGNT,9.445,9.58,167879,11.66,6.29,,10,10,5,10,7.5,0,'-801659,'-47846,0.0718,0.0165,2026-06-19,2026-06-19,31,1,0.871,0,0.0516,0.0323,16.755,'-14.9152,0.07540264,'-0.02851361,0.6174,0.5436,0.4295,0.2406,0.6917,0.3287059269,40.87,9.5256,0.34365999999999997,7.9116
,CGNX,55.11,54.26,382581,59.88,25.12,05-07 4:30 AM,55,60,22.5,60,55,8.789142774680098,'-2590430,'-419649,0.9051,0.7917,2026-05-16,2026-05-16,89,65,0.5169,0.3692,0.1865,0.7303,6.1728,'-5.4359,'-0.03245005,'-0.03214661,0.4274,0.6657,0.9444,0.1024,0.5983,2.2799269078,55.05,0.4493,0.4932,0.50264
,CGON,66.82,68.71,209820,73.56,20.53,,65,75,22.5,90,35,13.110665557729522,'-3991691,'-438963,0.2778,0.139,2026-06-19,2026-06-19,528,19,0.5909,0.9474,0.3536,0.036,9.0935,'-15.5738,'-0.18543732,'-0.12847175,0.5031,0.7309,0.3616,0.1822,0.3102,3.1698629679,40.48,14.581,0.5244,9.38524
,CGUS,39.6,42.35,556942,42.42,31.83,,39,30,31,30,30,,0,0,0,0,2026-05-16,2026-05-16,0,0,,,,,,,'-0.07169529,'-0.05807478,0.1854,0.1257,0.1567,0.206,0.502,0.3360092785,41.38,31.7328,0.50082,26.968400000000003
,CGW,65.865,65.79,18172,68.92,56.98,,65,65,56,68,59,,'-50041,'-9898,0.0116,0.0206,2026-06-19,2026-06-19,0,0,,,0.2115,,5.0557,'-4.9364,'-0.46693227,'-0.44803695,0.1678,0.1299,0.3656,0.3758,0.083,0.539425677,37.01,89.9604,,
,CHAT,78.65,79.18,337551,79.35,34.15,,77,66,40,77,70,,'-433240,'-141875,0.3892,0.2165,2026-06-19,2026-06-19,264,27,0.6515,0.3704,0.6397,0.1023,3.0537,'-8.8815,0.08030259,0.02490588,0.4107,0.3453,0.5908,0.3942,0.7831,1.725737171,65.55,5.8325,0.6984199999999999,6.10778
,CHAU,22.89,23.06,44081,23.33,13.06,,22,22,11,22,15,,'-1112834,'-319172,0.4782,0.2023,2026-05-16,2027-01-16,3,0,0.3333,,0.8663,0,3.4866,'-7.2218,'-0.29713848,'-0.20681702,0.403,0.3902,0.4621,0.1787,0.1004,0.5679487471,65.52,6.8974,0.1479,7.375649999999999
,CHCO,124.71,124.75,21720,133.59,113.21,,120,125,80,125,120,10.024152501023725,'-35660,'-96715,0.0032,0.0103,2026-06-19,2026-09-19,0,0,,,3.1028,,0.3687,'-0.6285,0.61485257,0.45672894,0.1823,0.2623,0.3449,0.1851,0.7593,2.0653869217,61.99,14.3746,,
,CHCT,17.405,17.19,62152,18.22,13.23,,17.5,17.5,5,17.5,15,10.541241633661713,'-171195,'-33747,0.306,0.1993,2026-07-18,2026-10-17,200,1,0,0,0.2913,0.005,5.0729,'-6.6822,'-0.24048358,'-0.20733479,0.2021,0.5508,0.7035,0.0903,0.5851,0.5976299943,39.410000000000004,7.2974,0.3116,10.9613
,CHD,95.4,95.01,797731,106.04,81.33,05-01 6:55 PM,95,95,50,95,80,11.83194727545353,'-998701,'-219030,0.7158,0.7249,2026-05-16,2026-05-16,79,19,0.038,0.2105,0.2612,0.2405,4.5597,'-4.0058,'-0.18730913,'-0.18373812,0.2144,0.2841,0.7629,0.209,0.2008,1.7037392539,73.78,0.5098,0.69546,0.49274000000000007
,CHDN,100.31,101.55,1145946,118.46,80.24,,100,100,50,105,80,103.14712586433357,'-3328640,'-569622,0.5467,0.4645,2026-05-16,2026-05-16,4543,356,0.3901,0.9579,0.9885,0.0784,5.8436,'-12.5145,'-0.02112056,0.00859769,0.4502,0.3373,0.4519,0.4701,0.7037,2.1620157167,51.74999999999999,0.444,0.43228,1.09944
,CHE,422.53,421.73,245957,583.96,365.21,,410,340,220,350,360,6.139965525638637,'-360110,'-40630,0.3048,0.0538,2026-12-19,2026-12-19,270,27,0.9481,0.7037,0.1377,0.1,8.8632,'-56.5425,'-0.37445095,'-0.29263781,0.3947,0.2703,0.2855,0.8774,0.08,7.195204128,47.38,0.437,0.409625,0.49605
,CHEF,66.875,65.43,142268,73.94,51.95,04-29 7:00 PM,65,65,35,65,50,0.8883947075770068,'-10970,'-26847,0.1701,0.4177,2026-07-18,2026-10-17,0,12,,0,4.3239,,0.4086,'-0.5908,'-0.14226804,'-0.14668008,0.361,0.497,0.8131,0.0548,0.2816,2.0525601212,50.690000000000005,0.537,0.40718,3.1049
,CHGG,1.055,1.03,654862,1.9,0.45,05-07 4:05 AM,1,1,1,1,4.5,0,'-4385128,'-323134,0.3816,0.1874,2026-05-16,2027-01-16,891,27,0.2346,0.7037,0.0769,0.0303,13.5706,'-25.246,'-0.11921159,'-0.11353393,1.2758,1.6418,0.5012,0.0658,0.4321,0.106738244,36.42,0.5876,0.32398,0.6112599999999999
,CHGX,39.8,29.74,6485,29.86,22.8,,28,18,19,18,18,,0,0,0,0,2026-05-16,2026-05-16,0,0,,,,,,,'-0.19278169,'-0.15766193,0.2593,0.3165,0.2515,0.1801,0.3613,0.5941242189,68.82000000000001,36.8466,,
,CHH,119.01,119.13,171087,136.45,84.04,04-30 6:30 PM,125,120,55,125,100,9.805294073340258,'-430119,'-192923,0.3628,0.4342,2026-09-19,2026-05-16,18,4,0.1111,0.25,1.1037,0.2222,2.2295,'-2.6075,'-0.1054146,'-0.05844331,0.3129,0.3713,0.8027,0.4604,0.4344,2.791956637,78.91,5.4566,0.7448,1.5243999999999998
,CHIQ,19.94,19.89,71643,24.67,19.12,,20,25,12,25,21,,'-18731,'-4819,0.0716,0.1291,2026-06-19,2026-09-19,0,0,,,0.1172,,3.8869,'-1.9435,'-0.51875572,'-0.2052305,0.2636,0.2256,0.1132,0.2186,0.2172,0.2832281765,6.260000000000001,22.9404,,
